rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/alpha_loss,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
-0.03987453701964117,-0.0012816657608105816,0.027864266446193896,-0.9763333339265917,0.0,1162.8230522053584,67.42653177142257,2098,0,2000,0.0003,,,,,,,,,,,,,,,
0.03381647872505701,0.04770356101298444,-0.03296048166476596,-0.9711047008742724,0.0,1182.4106305510704,135.45849955614847,2128,1,4000,0.0003,,,,,,,,,,,,,,,
0.16796290568599917,-0.010235927419923161,-0.03276508979673829,-0.9650729656353905,0.0,1194.2132894943443,31.38655948525914,2145,2,6000,0.0003,,,,,,,,,,,,,,,
-0.032887191985719384,-0.008675402105272715,0.15146821694392482,-0.9586577933898882,0.0,1207.4091392165797,-92.82494607801772,2144,3,8000,0.0003,,,,,,,,,,,,,,,
-0.12557743028795826,-0.02801264451372036,0.025855542251269476,-0.9520678597269036,0.0,1211.993900955207,-47.05320677715566,1481,6,10000,0.0003,-0.2783929109573364,1.0,-0.0,729283.25,92.18994903564453,1,,,,,,,,,
-5.097199360728254,0.13474947799305165,-0.9394767136098168,-0.08058630143629221,0.0,2993.932623987315,25555.748599282026,164,72,12000,0.0003,-527155.1875,2.174377679824829,-9.12946891784668,12302365696.0,191949.140625,2001,11300.0,6526027.781426,,,,,,,
20.0,-0.04869894607482511,2.1927731271397413,0.20095075082459338,0.0,3284.012780959366,40539.26194876626,99,141,14000,0.0003,-4351734.5,4.003471374511719,-15.310937881469727,995556851712.0,3946294.75,4001,4640.0,2565357.896443667,,,,,,,
20.0,0.2124312106687215,2.006213277038192,-0.08249959039010749,0.0,2470.3205607678246,20491.72865581036,76,209,16000,0.0003,-12829613.0,7.1771240234375,-20.267765045166016,6188609568768.0,9809859.0,6001,3810.0,2072642.6068525002,,,,,,,
20.0,-0.08462499961848817,2.1929082669386193,0.15241602082567166,0.0,3319.1658604266795,40439.45164922892,64,277,18000,0.0003,-29285394.0,12.800240516662598,-24.593833923339844,19232892911616.0,16435108.0,8001,2970.5,1570667.738029667,,,,,,,
20.0,0.22152776817168782,1.9888452183883287,-0.024995028433775476,0.0,2406.615630405008,19205.754776141875,57,346,20000,0.0003,-51571300.0,22.778499603271484,-27.506935119628906,70760735440896.0,32298974.0,10001,2731.5714285714284,1427904.430601143,,,,,,,
20.0,-0.08201252701426331,2.155445314049541,0.15358964246484594,0.0,3323.046338244753,44024.270362104384,53,414,22000,0.0003,-82501384.0,40.45615005493164,-29.865764617919922,183677749297152.0,51427344.0,12001,2421.6666666666665,1248010.4626077777,,,,,,,
20.0,0.2135066512798811,1.9779309502787323,-0.021771912140449268,0.0,2408.1554891996243,20246.02229174753,49,482,24000,0.0003,-136528144.0,72.6872329711914,-34.3382568359375,496354673557504.0,72324288.0,14001,2312.1,1183495.2231208,,,,,,,
20.0,-0.0758358021617127,2.1960559652497,0.1062683792859923,0.0,3337.7606980960436,40836.46467769052,47,551,26000,0.0003,-199078240.0,132.1034698486328,-38.99713134765625,860441265831936.0,95880296.0,16001,2145.3333333333335,1083953.8830565833,,,,,,,
