arm,update,split,label_rmse,initial_label_rmse,label_drift_rms,interior_label_rmse,boundary_label_rmse,reset_label_rmse,rollout_label_rmse,boundary_value_rmse,hjb_rms,target_gap_rms,value_abs_max,eta_abs_mean,eta_abs_max,eta_abs_p50,eta_abs_p90,eta_abs_p99,state_gradient_norm_mean,state_gradient_norm_max,saturation_fraction,terminal_fraction
fixed_labels,0,train,0.6051668310219036,0.6051668310219036,0.0,0.003518283472713871,10.000049464283071,5.962940923238083e-06,0.85583513990875,10.000049464283071,0.17591417773433374,0.0,0.00022059291950426996,1.6014688526411192e-06,1.0771762390504591e-05,3.982196972174279e-07,6.476027010648977e-06,1.0211445442109834e-05,4.2325675167376176e-05,0.0003050066588912159,0.0,0.003662109375
fixed_labels,0,heldout,0.5846484703178787,0.5846484703178787,0.0,0.0033681483516662526,10.000082697848331,5.916116842379096e-06,0.8268177959230623,10.000082697848331,0.16840742150641078,0.0,0.00019936820899602026,1.4517212321152329e-06,1.0744783139671199e-05,3.674800552744273e-07,5.464430614665616e-06,1.0036562343884725e-05,4.05114988097921e-05,0.0002947782923001796,0.0,0.00341796875
moving_labels,0,train,0.6051668310219036,0.6051668310219036,0.0,0.003518283472713871,10.000049464283071,5.962940923238083e-06,0.85583513990875,10.000049464283071,0.17591417773433374,0.0,0.00022059291950426996,1.6014688526411192e-06,1.0771762390504591e-05,3.982196972174279e-07,6.476027010648977e-06,1.0211445442109834e-05,4.2325675167376176e-05,0.0003050066588912159,0.0,0.003662109375
moving_labels,0,heldout,0.5846484703178787,0.5846484703178787,0.0,0.0033681483516662526,10.000082697848331,5.916116842379096e-06,0.8268177959230623,10.000082697848331,0.16840742150641078,0.0,0.00019936820899602026,1.4517212321152329e-06,1.0744783139671199e-05,3.674800552744273e-07,5.464430614665616e-06,1.0036562343884725e-05,4.05114988097921e-05,0.0002947782923001796,0.0,0.00341796875
online,0,train,0.6051668310219036,0.6051668310219036,0.0,0.003518283472713871,10.000049464283071,5.962940923238083e-06,0.85583513990875,10.000049464283071,0.17591417773433374,0.0,0.00022059291950426996,1.6014688526411192e-06,1.0771762390504591e-05,3.982196972174279e-07,6.476027010648977e-06,1.0211445442109834e-05,4.2325675167376176e-05,0.0003050066588912159,0.0,0.003662109375
online,0,heldout,0.5846484703178787,0.5846484703178787,0.0,0.0033681483516662526,10.000082697848331,5.916116842379096e-06,0.8268177959230623,10.000082697848331,0.16840742150641078,0.0,0.00019936820899602026,1.4517212321152329e-06,1.0744783139671199e-05,3.674800552744273e-07,5.464430614665616e-06,1.0036562343884725e-05,4.05114988097921e-05,0.0002947782923001796,0.0,0.00341796875
fixed_labels,100,train,0.5839108436993559,0.5839108436993559,0.0,0.15682020364507598,9.29579320496133,0.00023073817375366586,0.8257746021398832,9.29579320496133,0.7699232486697879,0.1656316284211206,0.7676047086715698,0.0001960450754268095,0.002233978360891342,0.00010581516835372895,0.0005079488037154078,0.0017036980716511607,0.06489350646734238,0.35344117879867554,0.0,0.003662109375
fixed_labels,100,heldout,0.5674268039708371,0.5674268039708371,0.0,0.14635463035721208,9.378421324826459,0.00022841610834430735,0.8024626493209508,9.378421324826459,0.7629274115120536,0.1539031662474117,0.7504473924636841,0.00019804963085334748,0.0017776290187612176,0.00011485601135063916,0.0005384928663261235,0.0011124488664790988,0.06288353353738785,0.3542519211769104,0.0,0.00341796875
moving_labels,100,train,0.5728966724510137,0.5848560596214817,0.043869755218292054,0.13649805934525494,9.195341416196971,0.00019084873795248552,0.8101982215406595,9.195341416196971,0.854639263245478,0.14736093000127432,0.876192033290863,0.00021950621157884598,0.002507925732061267,0.0001170422401628457,0.0005756310420110822,0.00190441170707345,0.07392608374357224,0.40362250804901123,0.0,0.003662109375
moving_labels,100,heldout,0.557727228413873,0.5684869036184919,0.041218430699408615,0.1269408548558573,9.290252586928787,0.00018875045989542297,0.7887453879432227,9.290252586928787,0.8470810041597016,0.1367064943832885,0.8579301834106445,0.00022093375446274877,0.0019991740118712187,0.000126703642308712,0.0006087180227041245,0.0012475228868424892,0.07169315218925476,0.4045163094997406,0.0,0.00341796875
online,100,train,0.5749364237390717,0.5844520909321052,0.039994434157099634,0.11844030168814546,9.29764074078371,0.00016740093869966222,0.8130828707214737,9.29764074078371,0.7626418077990613,0.12836499529604753,0.7639330625534058,0.00019441393669694662,0.002176187466830015,0.00010296162508893758,0.000521293724887073,0.0016536425100639462,0.06498139351606369,0.34760281443595886,0.0,0.003662109375
online,100,heldout,0.5592971393132541,0.5678551099496182,0.03758630182032241,0.10997716242309744,9.380494743839305,0.00016543185790900586,0.7909655825130949,9.380494743839305,0.7548978592567467,0.11895380408402903,0.7493410706520081,0.00019480998162180185,0.0017392542213201523,0.00011101011477876455,0.0005399069632403553,0.0010974325705319643,0.06309064477682114,0.3483120799064636,0.0,0.00341796875
fixed_labels,200,train,0.581048714373269,0.581048714373269,0.0,0.1307641717459665,9.3562799199456,0.0002049282793754751,0.821726946712871,9.3562799199456,0.761639294380704,0.13963457900750115,0.713466465473175,0.0001999296509893611,0.0018852850189432502,9.805474837776273e-05,0.0005560004501603544,0.00141628528945148,0.06071767956018448,0.40215355157852173,0.0,0.003662109375
fixed_labels,200,heldout,0.5650526127554301,0.5650526127554301,0.0,0.12354067664267773,9.432044259493725,0.00020391215243351112,0.7991050423963737,9.432044259493725,0.7587070266093208,0.13109455670843026,0.6861703395843506,0.00019859752501361072,0.0015737529611214995,0.00010436765296617523,0.0005643521435558796,0.0011162535520270467,0.05825990438461304,0.4046211540699005,0.0,0.00341796875
