mode,seed,step,eval_reward,rollout_ep_rew,critic_loss,alpha
final_mf,1,25000,21.33,20.24,0.0165,0.01219
final_mf,1,50000,20.84,28.12,0.0036,0.00135
final_mf,1,75000,35.95,37.05,0.0226,0.0016
final_mf,1,100000,19.78,35.12,0.0344,0.00122
final_mf,1,125000,20.07,36.87,0.0291,0.00228
final_mf,1,150000,58.6,33.95,0.5221,0.00096
final_mf,1,175000,20.02,36.66,0.0113,0.00067
final_mf,1,200000,185.06,43.18,0.0244,0.0014
final_mf,1,225000,183.27,50.05,0.0223,0.00151
final_mf,1,250000,186.42,58.11,0.0264,0.00093
final_mf,1,275000,19.96,62.99,0.0235,0.0014
final_mf,1,300000,110.42,74.7,0.026,0.00258
final_mf,1,325000,181.04,91.59,0.016,0.00213
final_mf,1,350000,179.91,112.86,0.0121,0.00249
final_mf,1,375000,186.11,128.6,0.046,0.00272
final_mf,1,400000,182.5,139.99,0.1017,0.00242
final_mf,1,425000,185.85,154.55,0.0279,0.00255
final_mf,1,450000,180.77,165.51,0.0394,0.00259
final_mf,1,475000,19.89,162.76,0.0262,0.00212
final_mf,1,500000,19.79,153.95,0.0364,0.00199
final_mf,2,25000,20.01,20.38,0.0075,0.01115
final_mf,2,50000,20.39,20.49,0.0007,0.00034
final_mf,2,75000,20.31,20.58,0.0002,0.00022
final_mf,2,100000,94.22,23.02,0.0211,0.00088
final_mf,2,125000,19.83,32.46,0.0296,0.00127
final_mf,2,150000,20.54,30.29,0.0095,0.00099
final_mf,2,175000,20.43,28.91,0.2485,0.00077
final_mf,2,200000,163.29,27.79,0.012,0.00103
final_mf,2,225000,21.2,29.09,0.0092,0.00082
final_mf,2,250000,20.22,29.05,0.0088,0.00082
final_mf,2,275000,19.95,29.0,0.0068,0.0006
final_mf,2,300000,20.15,27.46,0.0049,0.00039
final_mf,2,325000,20.32,21.54,0.0052,0.00042
final_mf,2,350000,20.61,21.59,0.0042,0.00058
final_mf,2,375000,20.39,21.64,0.0287,0.00031
final_mf,2,400000,19.92,21.49,0.0108,0.00063
final_mf,2,425000,20.55,20.4,0.0014,0.00043
final_mf,2,450000,19.96,20.38,0.0074,0.00018
final_mf,2,475000,19.99,20.35,0.0235,0.00018
final_mf,2,500000,20.26,20.37,0.0035,0.00033
