schema_version,seed,start,damping,torque_limit,k_v,k_d,k_p,kp_floor,kp_boundary,kd_floor,regime,n_unstable,escape_time_constant,t_max,dt,physics_dt,tube_energy,tube_angle,tube_rate,dwell_seconds,lqr_threshold,duration,captured,capture_time,retention,error_rms,error_rms_energy,error_rms_angle,error_rms_rate,orbit_distance_rms,orbit_distance_final,control_effort,saturation,lqr_time,lqr_residual_min,min_abs_energy_error,final_abs_energy_error,peak_shoulder_rate,peak_commanded_torque
1,20000,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,7.160999999998751,1.0,0.024507699613653015,0.022694623012377815,0.006837748124786759,0.006231101608951228,0.030130880447346867,0.011579503987755648,222.774956760508,0.0,inf,0.2896858087847513,0.8522820010248147,0.9527459186680218,7.039586067199707,19.695232189740715
1,20001,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,16.475500000006953,1.0,0.05056921858660264,0.04660051082132966,0.015669706907907494,0.011836323122955508,0.04670934092899148,0.027629685317465097,247.2740402479313,0.0,inf,0.4611079904865452,2.1424856202507776,2.1424856202507776,7.4320526123046875,17.441190059447806
1,20002,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,7.241999999998706,1.0,0.011939943962899775,0.00931325038156078,0.0037042496083248204,0.006488772149395457,0.019618252959647746,0.010914172732517814,245.3781339251547,0.0,inf,0.04587117866244464,0.0003569234362217344,0.3974246236886394,5.727931499481201,19.374773028423718
1,20003,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,7.4484999999985915,1.0,0.042362404024261134,0.03936066952585175,0.011919192967606317,0.010160896032948364,0.04648450103541367,0.02445938529269969,217.63603840489623,0.0,inf,0.3641949729240711,1.5419413653733436,1.5419413653733436,7.245258808135986,19.611523875495195
1,20004,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,7.115499999998776,1.0,0.017417051338121155,0.015544926534641252,0.0038565607870462123,0.006843674104103122,0.025555470439665332,0.007008000117749577,239.86179640146187,0.0,inf,0.06140240783783904,0.00047137658191331866,0.6589418674941356,5.8858537673950195,19.356897109875845
1,20005,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,10.574500000001432,1.0,0.045024088029700676,0.04186045678747017,0.012011882507754246,0.01142739423799169,0.05044959291047461,0.015786013724406092,227.13427087792272,0.0,inf,0.3926698558501644,1.7164619458941033,1.7164619458941033,7.2927117347717285,19.5454695216253
1,20006,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,16.321500000007312,1.0,0.05018134757362362,0.04634471463469166,0.01524356892406525,0.011746006818961522,0.04577152134162671,0.026796191361114514,245.22925995358403,0.0,inf,0.4581352590965086,2.1243940624839155,2.1243940624839155,7.429166316986084,16.892965733913893
1,20007,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,16.488000000006924,1.0,0.050605853758142534,0.04662694632114261,0.015702958320824228,0.011844720821119077,0.04679972742682018,0.027703522447645755,247.49394852700772,0.0,inf,0.4614094089465149,2.144181644313754,2.144181644313754,7.432225704193115,17.503122210566666
1,20008,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,7.134999999998765,1.0,0.01654578156041484,0.014598337831053493,0.0038189955673448247,0.00678724486607023,0.024738168334235762,0.007272290756216684,240.57038560913654,0.0,inf,0.059285346869651354,0.0006935105822627463,0.6161749087626411,5.859813213348389,19.356237144524012
1,20009,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637845,20.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,19.99999999999874,True,6.947499999998869,1.0,0.022697452411846807,0.02114566142715046,0.0041906302787473974,0.007104503266465364,0.02998932583857743,0.012476643629886916,236.65695675866348,0.0,inf,0.07209360425525033,0.00024089788002612522,0.8914257681671742,6.120119094848633,19.405818436668472
