kind,reward_base,discount_rate,discount_horizon,eta,settling_tolerance,settle_threshold,settled_fraction,settling_p10,settling_p50,settling_p90,saturated_fraction,mean_reward,tail_reward,lqr_edge_reward_raw,ceiling_raw,lqr_mean_reward,tube_mean_reward,lqr_reward_exceeds_tube
r3,lyapunov,0.5,2.0,0.0,0.01,4.605170185988091,1.0,4.527099999999846,4.761999999999925,4.914799999999976,0.0009312034398280086,5.243089515251237,7.145629416633083,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.419045849257136,True
r3,lyapunov,0.5,2.0,0.02,0.01,4.605170185988091,1.0,4.503099999999838,4.727999999999914,4.877799999999963,0.001979588520573971,5.260499868159076,7.156673557035024,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.43110145151509,True
r3,lyapunov,0.5,2.0,0.04,0.01,4.605170185988091,1.0,4.47699999999983,4.692499999999901,4.837899999999951,0.0022373881305934704,5.278457566612531,7.167801118197267,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.443322210643613,True
r3,lyapunov,0.5,2.0,0.06,0.01,4.605170185988091,1.0,4.44799999999982,4.653499999999889,4.794999999999936,0.002432690865456727,5.297027532772434,7.179028308285031,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.455719308441724,True
r3,lyapunov,0.5,2.0,0.08,0.01,4.605170185988091,1.0,4.415999999999809,4.6094999999998745,4.748899999999921,0.0025936203189840506,5.316289203588102,7.190361411387644,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.468302532586666,True
r3,lyapunov,0.5,2.0,0.1,0.01,4.605170185988091,1.0,4.379999999999797,4.560499999999857,4.695999999999903,0.0027264261786910655,5.336343714320398,7.201806328357248,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.481082832392738,True
r3,lyapunov,0.5,2.0,0.12,0.01,4.605170185988091,1.0,4.339899999999784,4.5029999999998385,4.632999999999882,0.002834233288335583,5.357324002222612,7.213369823253707,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.494072990369764,True
r3,lyapunov,0.5,2.0,0.14,0.01,4.605170185988091,1.0,4.294799999999769,4.440499999999817,4.556899999999857,0.002921728913554322,5.379411761664272,7.225058994296174,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.50728803969945,True
r3,lyapunov,0.5,2.0,0.16,0.01,4.605170185988091,1.0,4.244599999999752,4.366999999999793,4.47909999999983,0.003223276336183191,5.40286773149447,7.236880520048164,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.520743211179534,True
r3,lyapunov,0.5,2.0,0.18,0.01,4.605170185988091,1.0,4.187399999999733,4.283999999999765,4.365199999999793,0.0034670141492925354,5.4280964445718505,7.24884039209989,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.5344533596442504,True
r3,lyapunov,0.5,2.0,0.2,0.01,4.605170185988091,1.0,4.122199999999712,4.189499999999734,4.251999999999755,0.0037544997750112493,5.455815803336412,7.26094399109398,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.548449131308151,True
r3,lyapunov,0.5,2.0,0.22,0.01,4.605170185988091,1.0,4.049199999999687,4.096999999999703,4.169699999999727,0.004324783760811959,5.487578779356703,7.273197877485951,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.562647031512911,True
r3,lyapunov,0.5,2.0,0.24,0.01,4.605170185988091,1.0,3.968399999999674,4.007499999999673,4.085799999999699,0.00731057197140143,5.531377785665855,7.28555536791076,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.576954088416018,True
r3,lyapunov,0.5,2.0,0.26,0.01,4.605170185988091,1.0,3.884399999999683,3.91549999999968,3.997899999999671,0.017406942152892357,5.5892497788531745,7.297846862267004,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.591391189783371,True
r3,lyapunov,0.5,2.0,0.28,0.01,4.605170185988091,1.0,3.8001999999996925,3.8264999999996894,3.9118999999996804,0.02358319584020799,5.6484955058274675,7.31020699745201,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.606032990984109,True
r3,lyapunov,0.5,2.0,0.3,0.01,4.605170185988091,1.0,3.7189999999997014,3.7364999999996993,3.829999999999689,0.0365137993100345,5.729103362623331,7.322719887833579,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.620928289245816,True
r3,lyapunov,0.5,2.0,0.32,0.01,4.605170185988091,1.0,3.6349999999997107,3.657999999999708,3.7559999999996974,0.04778354832258387,5.7956403701301955,7.335393656847888,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.636076345237717,True
r3,lyapunov,0.5,2.0,0.34,0.01,4.605170185988091,1.0,3.5590999999997193,3.5829999999997164,3.690099999999705,0.057733050847457626,5.852349731322105,7.34823625985754,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.651508784217591,True
r3,lyapunov,0.5,2.0,0.36,0.01,4.605170185988091,1.0,3.4901999999997266,3.515999999999724,3.633099999999711,0.06442490375481226,5.903092694156108,7.361258865448861,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.6671946198553735,True
r3,lyapunov,0.5,2.0,0.38,0.01,4.605170185988091,1.0,3.4310999999997334,3.4574999999997305,3.584999999999716,0.07014805509724514,5.949292824575437,7.374467456887872,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.683031397344396,True
r3,lyapunov,0.5,2.0,0.4,0.01,4.605170185988091,1.0,3.380099999999739,3.4089999999997356,3.543099999999721,0.07518686565671716,5.991961318753404,7.38786750183338,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.698821830387376,True
r3,lyapunov,0.5,2.0,0.42,0.01,4.605170185988091,1.0,3.335099999999744,3.36799999999974,3.508099999999725,0.07960070746462677,6.032012726667261,7.401464716330694,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.714658260432305,True
r3,lyapunov,0.5,2.0,0.44,0.01,4.605170185988091,1.0,3.2950999999997483,3.3299999999997443,3.478099999999728,0.08388330583470827,6.0702364193658855,7.415265080323104,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.730714503648556,True
r3,lyapunov,0.5,2.0,0.46,0.01,4.605170185988091,1.0,3.260099999999752,3.2964999999997477,3.451099999999731,0.08813309334533273,6.107345065947722,7.429274854412577,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.746869470235334,True
r3,lyapunov,0.5,2.0,0.48,0.01,4.605170185988091,1.0,3.227099999999756,3.2649999999997514,3.427099999999734,0.09205633468326584,6.144252515198817,7.443500597994263,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.763161090917286,True
r3,lyapunov,0.5,2.0,0.5,0.01,4.605170185988091,1.0,3.195999999999759,3.2349999999997547,3.4050999999997362,0.09655767211639418,6.184606114470496,7.457949188904426,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.779495225860709,True
r3,lyapunov,0.5,2.0,0.52,0.01,4.605170185988091,1.0,3.1659999999997623,3.205999999999758,3.3850999999997384,0.10280110994450277,6.232470243420683,7.472627844738455,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.795906324645479,True
r3,lyapunov,0.5,2.0,0.54,0.01,4.605170185988091,1.0,3.136099999999766,3.177999999999761,3.36699999999974,0.1095195240237988,6.2755516363685055,7.487544146015254,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.812528407258364,True
r3,lyapunov,0.5,2.0,0.56,0.01,4.605170185988091,1.0,3.1089999999997686,3.150999999999764,3.348999999999742,0.11511143192840358,6.317679708125517,7.502706061386726,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,7.8293292842267554,True
