seed,distribution,checkpoint_step,alpha,logged_final_return,n_states,mean_finite_frac,med_spearman_tl_to,med_pairwise_agree,med_topk_overlap,med_argmax_dist,med_regret_lgreedy_norm,med_spearman_q_to,med_spearman_q_tl,med_regret_qgreedy_norm,med_spearman_s_to,med_regret_sgreedy_norm,med_regret_pi_norm,med_regret_pi_sampled_norm,med_r_to_range_ratio,p90_regret_lgreedy_norm,p90_regret_qgreedy_norm,p90_regret_pi_norm,p90_regret_pi_sampled_norm,p10_spearman_tl_to,p10_spearman_q_to,frac_argmax_disagree,frac_tslope_sign_agree,frac_qslope_sign_agree
0,replay,498724,0.007815510965883732,1690.55,256,1.0,0.9969,0.9815,0.9,0.02,0.0007,0.8507,0.8475,0.033,-0.371,1.0,0.0282,0.0408,0.4917,0.0143,0.4315,0.2135,0.2234,0.9416,0.0376,0.6641,0.875,0.5234
0,onpolicy,498724,0.007815510965883732,1690.55,256,1.0,0.9985,0.9859,0.9,0.02,0.0003,0.964,0.9596,0.0197,0.344,1.0,0.0076,0.0315,0.4885,0.0032,0.0689,0.0776,0.0867,0.981,0.7506,0.7148,0.9297,0.8008
0,ou,498724,0.007815510965883732,1690.55,256,1.0,1.0,1.0,1.0,0.0,0.0,0.7815,0.7957,0.0649,-0.8994,1.0,0.0472,0.0519,0.0999,0.0299,1.0,0.752,0.7481,0.8804,-0.6494,0.3125,0.9492,0.6055
1,replay,496515,1.017537236213684,88.18,256,1.0,0.9945,0.9806,1.0,0.0,0.0,0.6066,0.5988,0.262,-0.1623,1.0,0.2457,0.2568,0.0001,0.0723,0.8586,0.8553,0.8461,0.8924,-0.7055,0.3906,0.9531,0.6133
1,onpolicy,496515,1.017537236213684,88.18,256,1.0,0.9993,0.9961,1.0,0.0,0.0,0.0711,0.0606,0.37,-0.192,0.9999,0.3588,0.3567,0.0001,0.1047,0.9764,0.906,0.9016,0.6877,-0.9008,0.3867,0.8711,0.4844
1,ou,496515,1.017537236213684,88.18,256,1.0,1.0,1.0,1.0,0.0,0.0,0.3672,0.3135,0.27,-0.4582,1.0,0.1719,0.1827,0.0005,0.0663,0.991,0.9581,0.948,0.8131,-0.9681,0.2344,0.9414,0.6055
2,replay,498535,0.008194858208298683,1635.55,256,1.0,0.995,0.9784,0.9,0.02,0.0008,0.8926,0.9079,0.0471,-0.1358,1.0,0.0259,0.042,0.4933,0.0165,0.3991,0.3548,0.3439,0.9403,0.1409,0.6758,0.9219,0.543
2,onpolicy,498535,0.008194858208298683,1635.55,256,1.0,0.9992,0.9904,0.9,0.02,0.0001,0.9483,0.9471,0.0335,0.0786,0.9933,0.0154,0.0352,0.6669,0.0014,0.1213,0.0722,0.0937,0.992,0.8025,0.6172,0.9414,0.5
2,ou,498535,0.008194858208298683,1635.55,256,1.0,1.0,1.0,1.0,0.0,0.0,0.7954,0.8743,0.0633,-0.2636,1.0,0.124,0.1295,0.089,0.059,0.9813,0.9401,0.931,0.787,-0.7811,0.3359,0.9453,0.5859
3,replay,495479,0.010699798353016376,900.59,256,1.0,0.9942,0.9796,0.9,0.04,0.0014,0.8266,0.9254,0.0586,-0.0657,1.0,0.0782,0.0922,0.1701,0.1339,0.8287,0.5875,0.5463,0.6461,-0.4186,0.5586,0.8047,0.5391
