seed,step,distribution,n_states,mean_finite_frac,med_spearman_tl_to,med_pairwise_agree,med_topk_overlap,med_argmax_dist,med_regret_lgreedy_norm,med_spearman_q_to,med_spearman_q_tl,med_regret_qgreedy_norm,med_spearman_s_to,med_regret_sgreedy_norm,med_regret_pi_norm,med_regret_pi_sampled_norm,med_r_to_range_ratio,p90_regret_lgreedy_norm,p90_regret_qgreedy_norm,p90_regret_pi_norm,p90_regret_pi_sampled_norm,p10_spearman_tl_to,p10_spearman_q_to,frac_argmax_disagree,frac_tslope_sign_agree,frac_qslope_sign_agree
1,100000,onpolicy,256,1.0,1.0,1.0,1.0,0.0,0.0,0.4447,0.4511,0.1482,nan,nan,0.4921,0.4952,0.0,0.0172,0.9676,0.8211,0.8052,0.9941,-0.5554,0.1875,0.9883,0.5781
1,100000,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.5165,0.5739,0.2292,nan,nan,0.249,0.2766,0.0,0.036,1.0,0.9243,0.9113,0.8638,-0.9544,0.1484,0.9609,0.582
1,126079,onpolicy,256,1.0,1.0,1.0,1.0,0.0,0.0,0.2449,0.2328,0.4564,nan,nan,0.5181,0.5049,0.0,0.0,0.9954,0.8998,0.8636,1.0,-0.9634,0.0742,0.9961,0.5117
1,126079,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,-0.0005,-0.0006,0.5162,nan,nan,0.5135,0.5302,0.0,0.0726,1.0,0.9804,0.9731,0.9044,-0.984,0.2031,0.9648,0.5234
1,153070,onpolicy,256,1.0,0.9954,0.9851,1.0,0.0,0.0,0.0671,0.084,0.5205,nan,nan,0.5843,0.5832,0.0,0.0517,0.9292,0.9695,0.9451,0.9768,-0.677,0.4258,0.9844,0.582
1,153070,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.6363,0.5894,0.0277,nan,nan,0.0471,0.0525,0.0001,0.0132,0.8543,0.6113,0.6033,0.9362,-0.7921,0.1289,0.9375,0.6523
1,180169,onpolicy,256,1.0,0.9925,0.9766,1.0,0.0,0.0,-0.0499,0.0051,0.6398,nan,nan,0.6763,0.6514,0.0,0.0988,0.9985,0.9671,0.9308,0.9173,-0.8111,0.3281,0.9609,0.5117
1,180169,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.3229,0.283,0.361,nan,nan,0.2354,0.2571,0.0001,0.0478,1.0,0.975,0.9684,0.931,-0.9667,0.1523,0.9531,0.6094
1,209984,onpolicy,256,1.0,0.9992,0.9948,1.0,0.0,0.0,0.3393,0.3189,0.299,nan,nan,0.3671,0.3812,0.0,0.0997,0.8305,0.7692,0.741,0.9257,-0.594,0.4023,0.9766,0.6016
1,209984,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.0278,0.058,0.3952,nan,nan,0.2833,0.3109,0.0002,0.1422,1.0,0.9789,0.9743,0.8077,-0.9899,0.1914,0.9414,0.4961
1,239957,onpolicy,256,1.0,0.9915,0.9758,0.9,0.02,0.0151,0.3272,0.3089,0.3682,nan,nan,0.4212,0.3994,0.0,0.1075,0.7934,0.842,0.7744,0.9375,-0.4455,0.6094,0.9727,0.5586
1,239957,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.7047,0.6921,0.0722,nan,nan,0.1201,0.1258,0.0002,0.0766,1.0,0.9304,0.9134,0.8433,-0.8943,0.1562,0.9766,0.6367
1,269442,onpolicy,256,1.0,0.987,0.9663,0.9,0.02,0.006,0.1698,0.1425,0.3336,nan,nan,0.3706,0.3785,0.0001,0.128,0.9506,0.8644,0.8065,0.9217,-0.6705,0.5703,0.9023,0.543
1,269442,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.4554,0.4922,0.2157,nan,nan,0.104,0.123,0.0002,0.0051,1.0,0.8262,0.8188,0.916,-1.0,0.1211,0.9531,0.5352
1,298945,onpolicy,256,1.0,0.9909,0.9763,0.9,0.02,0.0111,0.531,0.5596,0.3165,nan,nan,0.3387,0.3608,0.0001,0.1561,0.8847,0.8739,0.8437,0.9103,-0.6676,0.6172,0.918,0.5508
1,298945,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.7354,0.7387,0.0852,nan,nan,0.0838,0.0982,0.0003,0.0008,1.0,0.9084,0.8962,0.952,-0.9189,0.1016,0.9805,0.5898
1,328272,onpolicy,256,1.0,0.9839,0.9615,0.9,0.04,0.0161,0.5129,0.4908,0.3732,nan,nan,0.3637,0.3571,0.0001,0.1875,0.9722,0.8904,0.799,0.8922,-0.6763,0.6289,0.9062,0.4609
1,328272,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.4022,0.4022,0.1635,nan,nan,0.0758,0.0961,0.0003,0.0455,1.0,0.939,0.9243,0.8056,-0.9466,0.1445,0.9336,0.543
1,358020,onpolicy,256,1.0,0.9937,0.9792,0.9,0.02,0.0024,0.4657,0.4675,0.3224,nan,nan,0.4034,0.4039,0.0,0.1269,0.7911,0.8727,0.7996,0.9188,-0.5626,0.5352,0.9219,0.5703
1,358020,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.6459,0.6471,0.0633,nan,nan,0.0863,0.1231,0.0004,0.1128,1.0,0.9596,0.9432,0.7238,-0.9803,0.207,0.9414,0.6055
1,387737,onpolicy,256,1.0,0.9881,0.9698,0.9,0.04,0.0081,0.2105,0.2016,0.376,nan,nan,0.3138,0.3483,0.0001,0.1606,0.9295,0.9178,0.8807,0.8577,-0.7033,0.5977,0.8906,0.5625
1,387737,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.6346,0.5081,0.1859,nan,nan,0.1159,0.1344,0.0003,0.2283,1.0,0.9653,0.9617,0.6345,-0.9562,0.2188,0.9258,0.5703
3,100000,onpolicy,256,1.0,0.6342,0.7432,0.0,0.38,0.1538,0.4569,0.2917,0.2177,nan,nan,0.4854,0.4813,0.0679,0.87,1.0,0.8748,0.813,-0.8271,-0.7545,0.7422,0.7109,0.5586
3,100000,ou,256,1.0,1.0,1.0,1.0,0.0,0.0,0.7442,0.9488,0.1578,nan,nan,0.1344,0.1656,0.0739,1.0,1.0,0.998,0.9976,-0.8127,-1.0,0.4062,0.7461,0.5078
3,124221,onpolicy,256,1.0,0.501,0.7099,0.0,0.54,0.1294,0.4834,0.6345,0.2032,nan,nan,0.2508,0.275,0.1464,0.9996,1.0,0.7559,0.7192,-0.955,-0.8926,0.8164,0.5586,0.4609
3,124221,ou,256,1.0,0.9731,0.9507,0.5,0.12,0.0225,0.5615,0.876,0.1915,nan,nan,0.1112,0.1486,0.092,1.0,1.0,0.9423,0.9216,-1.0,-1.0,0.5898,0.6562,0.4883
3,150858,onpolicy,256,1.0,0.7459,0.7994,0.0,0.51,0.1192,0.4338,0.6462,0.1995,nan,nan,0.2491,0.2781,0.1832,0.6364,1.0,0.7486,0.7335,-0.5306,-0.9414,0.7891,0.6367,0.5469
3,150858,ou,256,1.0,0.9801,0.9606,0.6,0.09,0.0096,0.6839,0.8185,0.2097,nan,nan,0.0592,0.0819,0.0824,1.0,1.0,0.9037,0.88,-0.9913,-0.9672,0.5898,0.6758,0.5547
