fork,seed,fork_step,branch,rng,step,ret
seed1_at100k,1,100000,base,101,100001,68.66
seed1_at100k,1,100000,base,101,110001,0.04
seed1_at100k,1,100000,base,101,120001,0.04
seed1_at100k,1,100000,base,101,130001,0.44
seed1_at100k,1,100000,base,101,140001,152.56
seed1_at100k,1,100000,base,101,150001,93.71
seed1_at100k,1,100000,base,101,160001,2.84
seed1_at100k,1,100000,base,101,170001,31.95
seed1_at100k,1,100000,base,101,180001,1.08
seed1_at100k,1,100000,base,101,190001,0.33
seed1_at100k,1,100000,base,101,200001,0.36
seed1_at100k,1,100000,base,101,210001,0.44
seed1_at100k,1,100000,base,202,100001,72.05
seed1_at100k,1,100000,base,202,110001,0.04
seed1_at100k,1,100000,base,202,120001,0.25
seed1_at100k,1,100000,base,202,130001,86.78
seed1_at100k,1,100000,base,202,140001,46.69
seed1_at100k,1,100000,base,202,150001,14.54
seed1_at100k,1,100000,base,202,160001,0.05
seed1_at100k,1,100000,base,202,170001,60.47
seed1_at100k,1,100000,base,202,180001,182.57
seed1_at100k,1,100000,base,202,190001,28.43
seed1_at100k,1,100000,base,202,200001,20.34
seed1_at100k,1,100000,base,202,210001,16.57
seed1_at100k,1,100000,base,303,100001,69.11
seed1_at100k,1,100000,base,303,110001,0.22
seed1_at100k,1,100000,base,303,120001,0.46
seed1_at100k,1,100000,base,303,130001,0.15
seed1_at100k,1,100000,base,303,140001,0.13
seed1_at100k,1,100000,base,303,150001,23.37
seed1_at100k,1,100000,base,303,160001,23.79
seed1_at100k,1,100000,base,303,170001,10.8
seed1_at100k,1,100000,base,303,180001,2.23
seed1_at100k,1,100000,base,303,190001,26.5
seed1_at100k,1,100000,base,303,200001,0.39
seed1_at100k,1,100000,base,303,210001,0.08
seed1_at100k,1,100000,sham,101,100001,70.59
seed1_at100k,1,100000,sham,101,110001,0.04
seed1_at100k,1,100000,sham,101,120001,0.04
seed1_at100k,1,100000,sham,101,130001,0.58
seed1_at100k,1,100000,sham,101,140001,180.16
seed1_at100k,1,100000,sham,101,150001,65.98
seed1_at100k,1,100000,sham,101,160001,40.02
seed1_at100k,1,100000,sham,101,170001,45.84
seed1_at100k,1,100000,sham,101,180001,16.97
seed1_at100k,1,100000,sham,101,190001,15.61
seed1_at100k,1,100000,sham,101,200001,21.97
seed1_at100k,1,100000,sham,101,210001,92.6
seed1_at100k,1,100000,sham,202,100001,68.81
seed1_at100k,1,100000,sham,202,110001,0.04
seed1_at100k,1,100000,sham,202,120001,0.24
seed1_at100k,1,100000,sham,202,130001,278.26
seed1_at100k,1,100000,sham,202,140001,0.14
seed1_at100k,1,100000,sham,202,150001,1.57
seed1_at100k,1,100000,sham,202,160001,0.43
seed1_at100k,1,100000,sham,202,170001,42.97
seed1_at100k,1,100000,sham,202,180001,39.04
seed1_at100k,1,100000,sham,202,190001,61.46
seed1_at100k,1,100000,sham,202,200001,142.96
seed1_at100k,1,100000,sham,202,210001,13.13
seed1_at100k,1,100000,sham,303,100001,73.16
seed1_at100k,1,100000,sham,303,110001,0.23
seed1_at100k,1,100000,sham,303,120001,0.46
seed1_at100k,1,100000,sham,303,130001,0.21
seed1_at100k,1,100000,sham,303,140001,33.07
seed1_at100k,1,100000,sham,303,150001,83.38
seed1_at100k,1,100000,sham,303,160001,30.87
seed1_at100k,1,100000,sham,303,170001,0.31
seed1_at100k,1,100000,sham,303,180001,6.24
seed1_at100k,1,100000,sham,303,190001,0.28
seed1_at100k,1,100000,sham,303,200001,0.05
seed1_at100k,1,100000,sham,303,210001,0.14
seed1_at100k,1,100000,oracle,101,100001,73.34
seed1_at100k,1,100000,oracle,101,110001,240.48
seed1_at100k,1,100000,oracle,101,120001,17.79
seed1_at100k,1,100000,oracle,101,130001,48.84
seed1_at100k,1,100000,oracle,101,140001,99.15
seed1_at100k,1,100000,oracle,101,150001,91.31
seed1_at100k,1,100000,oracle,101,160001,34.25
seed1_at100k,1,100000,oracle,101,170001,60.13
seed1_at100k,1,100000,oracle,101,180001,39.49
seed1_at100k,1,100000,oracle,101,190001,116.63
seed1_at100k,1,100000,oracle,101,200001,73.84
seed1_at100k,1,100000,oracle,101,210001,4.53
seed1_at100k,1,100000,oracle,202,100001,71.42
seed1_at100k,1,100000,oracle,202,110001,1.72
seed1_at100k,1,100000,oracle,202,120001,1.38
seed1_at100k,1,100000,oracle,202,130001,0.18
seed1_at100k,1,100000,oracle,202,140001,18.09
seed1_at100k,1,100000,oracle,202,150001,18.73
seed1_at100k,1,100000,oracle,202,160001,10.09
seed1_at100k,1,100000,oracle,202,170001,30.6
seed1_at100k,1,100000,oracle,202,180001,0.17
seed1_at100k,1,100000,oracle,202,190001,2.76
seed1_at100k,1,100000,oracle,202,200001,0.11
seed1_at100k,1,100000,oracle,202,210001,0.62
seed1_at100k,1,100000,oracle,303,100001,72.26
seed1_at100k,1,100000,oracle,303,110001,280.98
seed1_at100k,1,100000,oracle,303,120001,9.5
seed1_at100k,1,100000,oracle,303,130001,13.36
seed1_at100k,1,100000,oracle,303,140001,16.86
seed1_at100k,1,100000,oracle,303,150001,99.01
seed1_at100k,1,100000,oracle,303,160001,63.36
seed1_at100k,1,100000,oracle,303,170001,275.71
seed1_at100k,1,100000,oracle,303,180001,247.39
seed1_at100k,1,100000,oracle,303,190001,335.58
seed1_at100k,1,100000,oracle,303,200001,106.35
seed1_at100k,1,100000,oracle,303,210001,189.79
seed1_at100k,1,100000,mf,101,100001,76.97
seed1_at100k,1,100000,mf,101,110001,7.74
seed1_at100k,1,100000,mf,101,120001,22.04
seed1_at100k,1,100000,mf,101,130001,8.4
seed1_at100k,1,100000,mf,101,140001,9.59
seed1_at100k,1,100000,mf,101,150001,19.05
seed1_at100k,1,100000,mf,101,160001,26.62
seed1_at100k,1,100000,mf,101,170001,226.13
seed1_at100k,1,100000,mf,101,180001,343.4
seed1_at100k,1,100000,mf,101,190001,293.95
seed1_at100k,1,100000,mf,101,200001,53.61
seed1_at100k,1,100000,mf,101,210001,58.48
seed1_at100k,1,100000,mf,202,100001,71.46
seed1_at100k,1,100000,mf,202,110001,183.77
seed1_at100k,1,100000,mf,202,120001,20.26
seed1_at100k,1,100000,mf,202,130001,0.51
seed1_at100k,1,100000,mf,202,140001,49.08
seed1_at100k,1,100000,mf,202,150001,50.12
seed1_at100k,1,100000,mf,202,160001,61.22
seed1_at100k,1,100000,mf,202,170001,64.69
seed1_at100k,1,100000,mf,202,180001,21.65
seed1_at100k,1,100000,mf,202,190001,87.69
seed1_at100k,1,100000,mf,202,200001,276.23
seed1_at100k,1,100000,mf,202,210001,394.76
seed1_at100k,1,100000,mf,303,100001,69.04
seed1_at100k,1,100000,mf,303,110001,219.62
seed1_at100k,1,100000,mf,303,120001,13.95
seed1_at100k,1,100000,mf,303,130001,6.4
seed1_at100k,1,100000,mf,303,140001,88.28
seed1_at100k,1,100000,mf,303,150001,98.19
seed1_at100k,1,100000,mf,303,160001,420.06
seed1_at100k,1,100000,mf,303,170001,43.99
seed1_at100k,1,100000,mf,303,180001,39.84
seed1_at100k,1,100000,mf,303,190001,35.06
seed1_at100k,1,100000,mf,303,200001,12.64
seed1_at100k,1,100000,mf,303,210001,51.72
seed5_at124k,5,124245,base,101,124246,127.01
seed5_at124k,5,124245,base,101,134246,180.32
seed5_at124k,5,124245,base,101,144246,99.55
seed5_at124k,5,124245,base,101,154246,323.8
seed5_at124k,5,124245,base,101,164246,322.52
seed5_at124k,5,124245,base,101,174246,115.06
seed5_at124k,5,124245,base,101,184246,9.01
seed5_at124k,5,124245,base,101,194246,373.1
seed5_at124k,5,124245,base,101,204246,401.78
seed5_at124k,5,124245,base,101,214246,473.24
seed5_at124k,5,124245,base,101,224246,336.57
seed5_at124k,5,124245,base,101,234246,446.44
seed5_at124k,5,124245,base,202,124246,126.45
seed5_at124k,5,124245,base,202,134246,478.24
seed5_at124k,5,124245,base,202,144246,406.29
seed5_at124k,5,124245,base,202,154246,11.65
seed5_at124k,5,124245,base,202,164246,27.39
seed5_at124k,5,124245,base,202,174246,76.75
seed5_at124k,5,124245,base,202,184246,14.64
seed5_at124k,5,124245,base,202,194246,28.23
seed5_at124k,5,124245,base,202,204246,83.91
seed5_at124k,5,124245,base,202,214246,110.25
seed5_at124k,5,124245,base,202,224246,190.38
seed5_at124k,5,124245,base,202,234246,491.4
seed5_at124k,5,124245,base,303,124246,124.99
seed5_at124k,5,124245,base,303,134246,70.27
seed5_at124k,5,124245,base,303,144246,6.46
seed5_at124k,5,124245,base,303,154246,59.53
seed5_at124k,5,124245,base,303,164246,45.93
seed5_at124k,5,124245,base,303,174246,68.21
seed5_at124k,5,124245,base,303,184246,23.08
seed5_at124k,5,124245,base,303,194246,223.08
seed5_at124k,5,124245,base,303,204246,408.19
seed5_at124k,5,124245,base,303,214246,445.01
seed5_at124k,5,124245,base,303,224246,460.47
seed5_at124k,5,124245,base,303,234246,620.91
seed5_at124k,5,124245,sham,101,124246,127.38
seed5_at124k,5,124245,sham,101,134246,180.88
seed5_at124k,5,124245,sham,101,144246,98.79
seed5_at124k,5,124245,sham,101,154246,308.59
seed5_at124k,5,124245,sham,101,164246,52.43
seed5_at124k,5,124245,sham,101,174246,28.33
seed5_at124k,5,124245,sham,101,184246,59.7
seed5_at124k,5,124245,sham,101,194246,133.29
seed5_at124k,5,124245,sham,101,204246,156.19
seed5_at124k,5,124245,sham,101,214246,422.79
seed5_at124k,5,124245,sham,101,224246,492.36
seed5_at124k,5,124245,sham,101,234246,323.3
seed5_at124k,5,124245,sham,202,124246,126.12
seed5_at124k,5,124245,sham,202,134246,463.06
seed5_at124k,5,124245,sham,202,144246,405.06
seed5_at124k,5,124245,sham,202,154246,165.09
seed5_at124k,5,124245,sham,202,164246,154.04
seed5_at124k,5,124245,sham,202,174246,57.78
seed5_at124k,5,124245,sham,202,184246,155.11
seed5_at124k,5,124245,sham,202,194246,317.05
seed5_at124k,5,124245,sham,202,204246,49.21
seed5_at124k,5,124245,sham,202,214246,421.06
seed5_at124k,5,124245,sham,202,224246,136.16
seed5_at124k,5,124245,sham,202,234246,485.45
seed5_at124k,5,124245,sham,303,124246,126.81
seed5_at124k,5,124245,sham,303,134246,71.24
seed5_at124k,5,124245,sham,303,144246,6.28
seed5_at124k,5,124245,sham,303,154246,115.21
seed5_at124k,5,124245,sham,303,164246,87.42
seed5_at124k,5,124245,sham,303,174246,100.5
seed5_at124k,5,124245,sham,303,184246,229.06
seed5_at124k,5,124245,sham,303,194246,356.55
seed5_at124k,5,124245,sham,303,204246,269.08
seed5_at124k,5,124245,sham,303,214246,429.3
seed5_at124k,5,124245,sham,303,224246,88.55
