fork,seed,fork_step,branch,rng,step,ret,guard_clamp_frac,guard_cap_frac,guard_nonfinite_frac,guard_delta_med,guard_delta_mad
seed1_at100k,1,100000,guarded,101,100001,74.57,0.113281,0.929688,0.0,-0.653442,46.241665
seed1_at100k,1,100000,guarded,101,110001,164.82,0.0625,0.644531,0.0,-0.42025,22.923437
seed1_at100k,1,100000,guarded,101,120001,253.98,0.058594,0.613281,0.0,0.851524,18.162811
seed1_at100k,1,100000,guarded,101,130001,412.14,0.078125,0.503906,0.0,0.565674,12.285699
seed1_at100k,1,100000,guarded,101,140001,0.88,0.09375,0.378906,0.0,-0.228653,11.253479
seed1_at100k,1,100000,guarded,101,150001,0.48,0.058594,0.296875,0.0,0.217834,8.201649
seed1_at100k,1,100000,guarded,101,160001,0.09,0.128906,0.316406,0.0,0.346424,5.220743
seed1_at100k,1,100000,guarded,101,170001,0.03,0.074219,0.320312,0.0,0.058441,8.074238
seed1_at100k,1,100000,guarded,101,180001,1.87,0.097656,0.285156,0.0,0.091278,6.968261
seed1_at100k,1,100000,guarded,101,190001,90.21,0.0625,0.203125,0.0,0.015053,7.442217
seed1_at100k,1,100000,guarded,101,200001,229.65,0.109375,0.289062,0.0,-0.071594,4.31367
seed1_at100k,1,100000,guarded,101,210001,0.05,0.089844,0.304688,0.0,0.008423,5.013955
seed1_at100k,1,100000,guarded,202,100001,72.38,0.09375,0.941406,0.0,-0.448608,53.020866
seed1_at100k,1,100000,guarded,202,110001,367.01,0.132812,0.734375,0.0,0.955032,15.597908
seed1_at100k,1,100000,guarded,202,120001,294.84,0.097656,0.597656,0.0,1.661255,12.955642
seed1_at100k,1,100000,guarded,202,130001,9.11,0.085938,0.546875,0.0,0.814819,8.377008
seed1_at100k,1,100000,guarded,202,140001,11.9,0.078125,0.425781,0.0,0.188721,6.254832
seed1_at100k,1,100000,guarded,202,150001,43.27,0.070312,0.507812,0.0,0.074821,8.4057
seed1_at100k,1,100000,guarded,202,160001,346.19,0.082031,0.59375,0.0,-0.012665,5.230884
seed1_at100k,1,100000,guarded,202,170001,185.64,0.070312,0.460938,0.0,0.014938,6.694866
seed1_at100k,1,100000,guarded,202,180001,343.92,0.128906,0.46875,0.0,0.118118,3.854656
seed1_at100k,1,100000,guarded,202,190001,284.26,0.09375,0.480469,0.0,0.081879,6.059281
seed1_at100k,1,100000,guarded,202,200001,300.66,0.0625,0.496094,0.0,0.008286,5.125881
seed1_at100k,1,100000,guarded,202,210001,425.9,0.085938,0.484375,0.0,0.202896,4.808949
seed1_at100k,1,100000,guarded,303,100001,71.82,0.097656,0.925781,0.0,-0.770271,46.422451
seed1_at100k,1,100000,guarded,303,110001,199.09,0.082031,0.710938,0.0,1.349335,24.392611
seed1_at100k,1,100000,guarded,303,120001,328.07,0.105469,0.628906,0.0,0.881348,12.46409
seed1_at100k,1,100000,guarded,303,130001,330.45,0.066406,0.515625,0.0,0.370239,14.789373
seed1_at100k,1,100000,guarded,303,140001,410.43,0.078125,0.496094,0.0,0.259796,13.309692
seed1_at100k,1,100000,guarded,303,150001,360.83,0.070312,0.347656,0.0,0.168304,9.399248
seed1_at100k,1,100000,guarded,303,160001,261.34,0.078125,0.632812,0.0,0.355598,12.308604
seed1_at100k,1,100000,guarded,303,170001,102.26,0.089844,0.460938,0.0,0.341888,8.790003
seed1_at100k,1,100000,guarded,303,180001,1.11,0.082031,0.378906,0.0,0.05002,7.462269
seed1_at100k,1,100000,guarded,303,190001,1.51,0.09375,0.445312,0.0,0.338882,5.751409
seed1_at100k,1,100000,guarded,303,200001,275.53,0.09375,0.425781,0.0,-0.030289,5.642549
seed1_at100k,1,100000,guarded,303,210001,271.99,0.082031,0.4375,0.0,0.018921,5.684141
seed5_at124k,5,124245,guarded,101,124246,128.03,0.113281,0.0,0.0,0.000295,0.138468
seed5_at124k,5,124245,guarded,101,134246,60.69,0.097656,0.0,0.0,0.004834,0.109912
seed5_at124k,5,124245,guarded,101,144246,121.74,0.097656,0.0,0.0,0.000795,0.066378
seed5_at124k,5,124245,guarded,101,154246,152.03,0.054688,0.0,0.0,0.002863,0.060657
seed5_at124k,5,124245,guarded,101,164246,446.61,0.066406,0.0,0.0,-0.000325,0.046175
seed5_at124k,5,124245,guarded,101,174246,474.06,0.078125,0.0,0.0,-1.6e-05,0.04368
seed5_at124k,5,124245,guarded,101,184246,313.0,0.089844,0.0,0.0,-0.002804,0.033091
seed5_at124k,5,124245,guarded,101,194246,413.14,0.046875,0.0,0.0,-0.000408,0.026431
seed5_at124k,5,124245,guarded,101,204246,438.33,0.050781,0.0,0.0,-0.00263,0.025991
seed5_at124k,5,124245,guarded,101,214246,362.24,0.09375,0.0,0.0,0.000819,0.025144
seed5_at124k,5,124245,guarded,101,224246,523.58,0.027344,0.0,0.0,-0.00131,0.027798
seed5_at124k,5,124245,guarded,101,234246,544.62,0.042969,0.0,0.0,-0.004854,0.027689
seed5_at124k,5,124245,guarded,202,124246,129.39,0.074219,0.0,0.0,-0.007792,0.217376
seed5_at124k,5,124245,guarded,202,134246,55.24,0.085938,0.0,0.0,0.000133,0.104896
seed5_at124k,5,124245,guarded,202,144246,10.63,0.089844,0.0,0.0,0.002825,0.069076
seed5_at124k,5,124245,guarded,202,154246,231.47,0.074219,0.0,0.0,0.004598,0.055184
seed5_at124k,5,124245,guarded,202,164246,286.76,0.078125,0.0,0.0,0.003781,0.04206
seed5_at124k,5,124245,guarded,202,174246,352.41,0.066406,0.0,0.0,-0.001871,0.028884
seed5_at124k,5,124245,guarded,202,184246,512.1,0.097656,0.0,0.0,-0.004223,0.028132
seed5_at124k,5,124245,guarded,202,194246,358.58,0.070312,0.0,0.0,-0.004321,0.02803
seed5_at124k,5,124245,guarded,202,204246,388.25,0.050781,0.0,0.0,-0.003305,0.029575
