fork,seed,fork_step,branch,rng,step,ret,guard_clamp_frac,guard_cap_frac,guard_nonfinite_frac,guard_delta_med,guard_delta_mad
seed5_at124k,5,124245,guarded_k3,101,124246,126.31,0.210938,0.0,0.0,0.005193,0.14657
seed5_at124k,5,124245,guarded_k3,101,134246,23.14,0.207031,0.0,0.0,0.003203,0.08552
seed5_at124k,5,124245,guarded_k3,101,144246,47.05,0.152344,0.0,0.0,0.001199,0.084788
seed5_at124k,5,124245,guarded_k3,101,154246,444.15,0.160156,0.0,0.0,-0.00027,0.048702
seed5_at124k,5,124245,guarded_k3,101,164246,393.76,0.195312,0.0,0.0,-4e-06,0.049529
seed5_at124k,5,124245,guarded_k3,101,174246,333.25,0.148438,0.0,0.0,0.00124,0.043872
seed5_at124k,5,124245,guarded_k3,101,184246,418.19,0.179688,0.0,0.0,-0.001491,0.034672
seed5_at124k,5,124245,guarded_k3,101,194246,457.64,0.113281,0.0,0.0,-0.004683,0.037675
seed5_at124k,5,124245,guarded_k3,101,204246,438.42,0.121094,0.0,0.0,-9.8e-05,0.039988
seed5_at124k,5,124245,guarded_k3,101,214246,283.11,0.101562,0.0,0.0,-0.002912,0.046668
seed5_at124k,5,124245,guarded_k3,101,224246,463.65,0.113281,0.0,0.0,-0.002338,0.036819
seed5_at124k,5,124245,guarded_k3,101,234246,519.05,0.132812,0.0,0.0,0.000687,0.037836
seed5_at124k,5,124245,guarded_k3,202,124246,127.53,0.199219,0.0,0.0,-0.007662,0.187399
seed5_at124k,5,124245,guarded_k3,202,134246,36.43,0.167969,0.0,0.0,0.008453,0.104616
seed5_at124k,5,124245,guarded_k3,202,144246,0.23,0.183594,0.0,0.0,0.003389,0.066996
seed5_at124k,5,124245,guarded_k3,202,154246,389.47,0.1875,0.0,0.0,0.000705,0.045491
seed5_at124k,5,124245,guarded_k3,202,164246,425.73,0.179688,0.0,0.0,0.002652,0.040656
seed5_at124k,5,124245,guarded_k3,202,174246,459.8,0.160156,0.0,0.0,-0.001533,0.037201
seed5_at124k,5,124245,guarded_k3,202,184246,303.23,0.191406,0.0,0.0,-0.001584,0.031888
seed5_at124k,5,124245,guarded_k3,202,194246,428.83,0.152344,0.0,0.0,0.000476,0.032381
seed5_at124k,5,124245,guarded_k3,202,204246,429.72,0.164062,0.0,0.0,-0.001446,0.02456
seed5_at124k,5,124245,guarded_k3,202,214246,408.56,0.128906,0.0,0.0,-0.003591,0.03014
seed5_at124k,5,124245,guarded_k3,202,224246,415.93,0.15625,0.0,0.0,-0.00256,0.026061
seed5_at124k,5,124245,guarded_k3,202,234246,411.22,0.1875,0.0,0.0,-0.001087,0.021836
