seed,step,distribution,n,eps_quad_rms,eps_quad_bias,eps_quad_p95,eps_quad_p99,eps_quad_rel,eps_re_rms,eps_re_bias,eps_re_p95,eps_re_p99,eps_re_rel,eps_gate_rms,eps_gate_bias,eps_gate_p95,eps_gate_p99,eps_gate_rel,eps_fd_rms,eps_fd_bias,eps_fd_p95,eps_fd_p99,eps_fd_rel,rho_med,rho_p95,lambda_mean,model_seconds_mean
1,100000,onpolicy,2000,132.1017,15.8654,150.9871,486.8601,0.5957,103.8712,12.8735,112.1986,403.6107,0.4684,125.4181,1.0821,66.231,144.311,0.5656,126.4143,-1.5891,66.1324,174.6964,0.5701,0.145,0.6314,0.8445,0.00819
1,100000,ou,2000,605.4944,-48.7342,602.97,905.8201,0.5933,494.639,-36.0842,473.6249,707.1699,0.4847,577.1196,-5.2659,379.1811,801.8269,0.5655,582.6925,-8.4893,117.8843,816.8632,0.571,0.1886,0.9244,0.7368,0.008193
1,126079,onpolicy,2000,514.2113,3.8654,577.5701,1196.7114,0.5135,440.47,-0.8268,425.3089,951.1477,0.4398,615.4039,3.8422,136.6638,1322.1603,0.6145,615.2798,-1.3694,89.1292,1323.7749,0.6144,0.1712,0.9539,0.7122,0.008211
1,126079,ou,2000,297.6821,20.5767,264.9783,450.2183,0.4722,243.1092,17.4528,188.234,358.9539,0.3856,315.2465,29.5232,101.5648,287.9884,0.5,320.9976,19.1271,77.958,869.4272,0.5091,0.1944,0.888,0.7404,0.008193
1,153070,onpolicy,2000,5.7019,-0.1682,12.4858,19.2193,0.1589,4.4247,-0.1326,9.6707,15.2135,0.1233,8.5297,0.1683,12.9708,46.0265,0.2378,21.9781,-0.1058,37.0969,111.1351,0.6127,0.1241,0.3876,0.8677,0.008193
1,153070,ou,2000,108.8927,2.3437,153.124,242.5172,0.4309,77.485,2.295,107.0797,185.0414,0.3066,165.9499,-6.234,60.2717,260.1534,0.6567,166.9293,-7.353,55.13,341.0915,0.6606,0.1648,0.8862,0.7522,0.008193
1,180169,onpolicy,2000,15.5725,1.4776,14.3745,83.1114,0.403,13.4733,1.237,11.2364,61.0238,0.3487,29.7808,-0.3607,14.7464,73.1051,0.7708,34.9167,-0.7309,46.6143,127.5253,0.9037,0.1253,0.6431,0.8568,0.008187
1,180169,ou,2000,96.0368,-8.1771,91.4815,208.6081,0.4311,73.0758,-6.0447,71.2254,172.5429,0.328,137.5191,-6.3685,53.9617,322.1895,0.6173,139.5104,-6.5964,48.6836,411.4173,0.6262,0.172,0.9005,0.7471,0.008193
1,209984,onpolicy,2000,7.7579,-1.1289,17.4967,30.6339,0.2032,5.8444,-0.8405,13.4144,22.7763,0.1531,6.3169,-0.5045,12.3849,23.4821,0.1655,18.2135,1.3499,37.2032,82.401,0.4771,0.1153,0.2698,0.9175,0.008215
1,209984,ou,2000,72.4378,-4.2531,74.6752,107.3957,0.368,54.8303,-2.8121,57.9608,86.9248,0.2785,82.8671,2.9911,42.2266,123.0669,0.421,86.0491,4.3194,46.2282,176.2428,0.4371,0.1651,0.9002,0.7497,0.008193
