seed,step,distribution,n,n_nonterminal,terminal_frac,gate_batch_size,gate_chunks,fd_anchor_nonfinite_frac,fd_anchor_nonfinite_nonterminal_frac,oracle_increment_nonfinite_frac,eps_quad_nonfinite_frac,eps_quad_finite_n,eps_quad_rms,eps_quad_bias,eps_quad_p95,eps_quad_p99,eps_quad_rel,eps_re_nonfinite_frac,eps_re_finite_n,eps_re_rms,eps_re_bias,eps_re_p95,eps_re_p99,eps_re_rel,eps_gate_nonfinite_frac,eps_gate_finite_n,eps_gate_rms,eps_gate_bias,eps_gate_p95,eps_gate_p99,eps_gate_rel,eps_fd_nonfinite_frac,eps_fd_finite_n,eps_fd_rms,eps_fd_bias,eps_fd_p95,eps_fd_p99,eps_fd_rel,rho_nonfinite_frac,rho_med,rho_p95,innovation_rho_med,mismatch_fraction_mean,innovation_valid_frac,lambda_mean,gate_fallback_frac,gate_fallback_nonterminal_frac,reanchor_nonfinite_frac,reanchor_nonfinite_nonterminal_frac,transport_seconds_mean,model_seconds_mean,long_frac
1,100000,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,132.1348,15.8733,151.0186,487.081,0.596,0.0,1999,103.8972,12.8799,112.5149,403.6667,0.4686,0.0,1999,121.4406,3.0793,82.284,173.4343,0.5478,0.0,1999,126.4459,-1.5899,66.1504,174.7868,0.5704,0.0,0.117,0.3645,0.1484,0.783889,0.9990000128746033,0.9362,0.0,0.0,0.0,0.0,0.00819,0.012992,0.102
1,100000,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,605.6458,-48.7586,603.0446,905.8404,0.5933,0.0,1999,494.7627,-36.1023,473.6892,707.1972,0.4847,0.0,1999,582.1655,-12.5772,449.3841,635.9337,0.5703,0.0,1999,582.8382,-8.4935,117.9397,817.0351,0.571,0.0,0.1621,0.6741,0.2055,0.781369,0.9980000257492065,0.8769,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
1,126079,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,514.3399,3.8673,578.191,1197.8368,0.5135,0.0,1999,440.5802,-0.8272,425.4049,951.5826,0.4398,0.0,1999,592.6663,17.2504,333.6762,1209.3219,0.5916,0.0,1999,615.4337,-1.37,89.1294,1325.3379,0.6144,0.0,0.158,0.7276,0.2,0.783146,1.0,0.8669,0.0,0.0,0.0,0.0,0.008211,0.013128,0.1075
1,126079,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,297.7566,20.5869,265.0387,450.2335,0.4722,0.0,1999,243.17,17.4615,188.2589,358.9776,0.3856,0.0,1999,317.4498,30.69,121.2978,325.2866,0.5034,0.0,1999,321.0779,19.1367,77.9658,869.4315,0.5092,0.0,0.1526,0.6769,0.1992,0.781369,0.9980000257492065,0.8794,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
1,153070,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,5.7033,-0.1683,12.4931,19.2214,0.1589,0.0,1999,4.4258,-0.1327,9.6709,15.215,0.1233,0.0,1999,4.768,0.1836,8.9529,20.0589,0.1329,0.0,1999,21.9836,-0.1058,37.1142,111.1414,0.6127,0.0,0.0957,0.7532,0.1233,0.783605,0.9994999766349792,0.9211,0.0,0.0,0.0,0.0,0.008193,0.013111,0.105
1,153070,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,108.9199,2.3449,153.1553,242.5268,0.4309,0.0,1999,77.5044,2.2962,107.0847,185.0726,0.3066,0.0,1999,166.5117,-5.5126,81.3644,207.538,0.6587,0.0,1999,166.9711,-7.3566,55.1477,341.1215,0.6606,0.0,0.1405,0.663,0.18,0.781369,0.9980000257492065,0.8876,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
1,180169,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,15.5764,1.4783,14.3765,83.1424,0.403,0.0,1999,13.4767,1.2376,11.2379,61.0822,0.3487,0.0,1999,28.5941,-0.3874,12.3095,63.1396,0.7399,0.0,1999,34.9254,-0.7313,46.6659,127.5763,0.9037,0.0,0.0985,0.3559,0.1247,0.783991,0.9990000128746033,0.9436,0.0,0.0,0.0,0.0,0.008187,0.012952,0.1005
1,180169,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,96.0609,-8.1812,91.4826,208.6119,0.4311,0.0,1999,73.0941,-6.0477,71.2347,172.5473,0.328,0.0,1999,136.3441,-6.5413,62.0675,256.882,0.6119,0.0,1999,139.5453,-6.5997,48.6936,411.7479,0.6262,0.0,0.1472,0.6852,0.1892,0.781369,0.9980000257492065,0.8863,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
1,209984,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,7.7599,-1.1295,17.4972,30.6361,0.2033,0.0,1999,5.8458,-0.8409,13.4166,22.7852,0.1531,0.0,1999,5.8409,-0.7453,13.2874,21.9818,0.153,0.0,1999,18.218,1.3506,37.2324,82.4026,0.4772,0.0,0.0965,0.2103,0.1242,0.782655,1.0,0.9751,0.0,0.0,0.0,0.0,0.008215,0.013379,0.114
1,209984,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,72.4559,-4.2552,74.6876,107.3988,0.368,0.0,1999,54.844,-2.8135,57.9684,86.9512,0.2785,0.0,1999,80.9615,2.6155,52.6057,95.6917,0.4112,0.0,1999,86.0707,4.3215,46.2472,176.4122,0.4371,0.0,0.15,0.6897,0.1918,0.781369,0.9980000257492065,0.8896,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
