seed,distribution,checkpoint_step,direct_return,direct_return_std,logged_final_return,n_states,eps_T_rms,eps_T_bias,eps_T_p95,eps_T_p99,rel_eps_T_over_dVoracle,dV_sign_err_frac,dV_spearman,target_spearman,rms_target_learned,rms_target_oracle,L_minus_O_tgt_rms,L_minus_O_tgt_bias,L_minus_O_tgt_p95,L_minus_O_tgt_p99,Q0_vs_learned_rms,Q0_vs_learned_bias,Q0_vs_learned_p95,Q0_vs_learned_p99,Q1_vs_learned_rms,Q1_vs_learned_bias,Q1_vs_learned_p95,Q1_vs_learned_p99,Q0_vs_oracle_rms,Q0_vs_oracle_bias,Q0_vs_oracle_p95,Q0_vs_oracle_p99,Q1_vs_oracle_rms,Q1_vs_oracle_bias,Q1_vs_oracle_p95,Q1_vs_oracle_p99,action_gap_rms,action_gap_p95,abs_eps_vs_gap_corr
0,replay_data,498724,1683.04,24.91,1690.55,4000,0.081,-0.0079,0.0737,0.2742,0.3678,0.0398,0.9776,1.0,34.8569,34.8598,0.081,-0.0079,0.0737,0.2742,0.2174,-0.1243,0.4075,0.6952,0.1941,-0.074,0.4153,0.6246,0.2425,-0.1322,0.432,0.7663,0.2113,-0.0819,0.4316,0.7252,,,
0,replay_pi,498724,1683.04,24.91,1690.55,4000,0.0801,-0.0085,0.0652,0.272,0.3544,0.0385,0.9794,1.0,34.8846,34.8889,0.0801,-0.0085,0.0652,0.272,0.2337,-0.1205,0.4234,0.7248,0.2223,-0.0708,0.4381,0.7291,0.2556,-0.129,0.446,0.8211,0.2337,-0.0793,0.4502,0.7711,0.5434,1.1993,-0.0063
0,onpolicy,498724,1683.04,24.91,1690.55,4000,0.0576,-0.0056,0.0155,0.0412,0.3992,0.0333,0.9949,0.9999,43.9619,43.9645,0.0576,-0.0056,0.0155,0.0412,1.0472,-0.0726,0.267,0.439,1.0472,-0.0097,0.2961,0.466,1.0489,-0.0782,0.2836,0.4608,1.0492,-0.0153,0.3115,0.5222,,,
0,ou,498724,1683.04,24.91,1690.55,4000,0.1403,-0.0307,0.3285,0.4983,0.6561,0.1082,0.8369,0.9996,7.6884,7.652,0.1403,-0.0307,0.3285,0.4983,1.5692,0.4988,3.9055,4.1316,7.2141,3.6742,17.3947,18.5399,1.5253,0.4681,3.8092,4.0702,7.1596,3.6435,17.3738,18.4897,,,
1,replay_data,496515,58.42,2.37,88.18,4000,21.9694,0.2832,13.7354,72.1794,0.6104,0.062,0.9075,0.9993,407.638,408.61,21.9638,0.2755,13.6917,72.1794,44.5567,6.149,66.7732,166.3107,46.1681,7.4787,72.7323,193.5982,50.6546,6.4245,66.1644,200.1327,50.6977,7.7542,78.2002,187.6624,,,
1,replay_pi,496515,58.42,2.37,88.18,4000,18.5871,0.4014,13.8328,67.4636,0.4811,0.0537,0.9266,0.9993,402.6434,403.4442,18.5816,0.3946,13.7798,67.4635,52.3441,7.7186,64.5004,187.0573,56.5248,9.0568,76.9341,214.9952,54.1898,8.1131,66.6426,200.1392,60.9163,9.4514,82.2273,219.3369,0.7499,1.4767,-0.0101
1,onpolicy,496515,58.42,2.37,88.18,4000,8.0083,0.7689,19.5894,34.9906,0.4508,0.1047,0.8614,0.9954,298.0959,298.8288,8.0081,0.7677,19.5894,34.9906,39.3147,10.9391,80.5726,146.7859,31.1832,6.376,66.0308,97.3104,39.5063,11.7068,79.0958,149.311,32.2474,7.1437,67.8713,103.0699,,,
1,ou,496515,58.42,2.37,88.18,4000,27.8715,-0.0911,42.0001,86.3704,0.4973,0.277,0.571,0.9988,947.2649,949.5972,27.8707,-0.094,42.0001,86.3704,213.6928,32.8879,375.1013,1268.4647,159.673,39.724,316.3195,657.6161,212.7074,32.7939,366.0781,1206.1953,161.0316,39.63,320.1478,663.1184,,,
2,replay_data,498535,1517.49,48.14,1635.55,4000,0.0419,-0.0025,0.0591,0.1618,0.2021,0.0395,0.9818,1.0,33.718,33.7194,0.0419,-0.0025,0.0591,0.1618,0.6659,0.0146,0.3789,0.6097,0.6667,0.0172,0.3449,0.6242,0.6668,0.0121,0.3908,0.6225,0.6671,0.0147,0.3489,0.639,,,
2,replay_pi,498535,1517.49,48.14,1635.55,4000,0.0376,-0.0036,0.0622,0.1394,0.1901,0.0257,0.9867,1.0,33.7503,33.7537,0.0376,-0.0036,0.0622,0.1394,0.6918,0.0211,0.4078,0.6729,0.6829,0.021,0.3776,0.6827,0.6926,0.0175,0.4165,0.7209,0.6834,0.0174,0.3913,0.6984,0.569,1.2508,0.1415
