arm,contact_geometry,contact_solver,gate_off,contact_compliance_c0_init,freeze_c0,accel_nrmse,accel_corr,mass_rel_frob_err,contact_force_corr,contact_force_nrmse,contact_active_frac,contact_solver_residual_mean,loss_first10_mean,loss_last100_mean,in_contact_step0,in_contact_step500,in_contact_step3000,normal_impulse_mean_step0,normal_impulse_mean_step3000,impulse_decay_ratio_0_to_end,c0_mean_step0,c0_mean_step_end,c0_ratio_to_init_end,fit_seconds
kinematic_compliance_frozen_s0,kinematic,constraint,0.005,40.0,True,0.9574480576485179,0.7000014185905457,0.8593980361437231,0.8348749792946448,0.6975267475845816,0.3016666666666667,7.677915945288882e-07,0.014936721231788398,0.003721170376520604,0.3203125,0.318359375,0.3111979166666667,0.0045655086184221245,0.001162251163885723,3.9281600744183236,40.0,40.0,1.0,422.5456027984619
kinematic_compliance_frozen_s1,kinematic,constraint,0.005,40.0,True,0.8271730786280362,0.7351911664009094,0.7902634117730869,0.8432356985718233,0.567421729970918,0.31133333333333335,1.445678671714079e-06,0.01673092572018504,0.0034278541523963214,0.3203125,0.310546875,0.31640625,0.004369210525889382,0.0013245312302609207,3.298684414582423,40.0,40.0,1.0,426.27864599227905
kinematic_compliance_frozen_s2,kinematic,constraint,0.005,40.0,True,0.7655626021920926,0.7690473794937134,0.9332028447962946,0.8301581495912624,0.8707669770539518,0.2823333333333333,8.479909486711623e-07,0.01629629135131836,0.003279321598820388,0.3111979166666667,0.3125,0.2884114583333333,0.004226819021511119,0.0008060110959555722,5.244120140182417,40.0,40.0,1.0,423.70104598999023
kinematic_compliance_s0,kinematic,constraint,0.005,40.0,False,0.8581400049318557,0.699798047542572,0.9030205692052009,0.82377345119655,0.7674735131755362,0.29233333333333333,9.783669144534102e-07,0.015970980189740656,0.003589096525683999,0.3203125,0.3053385416666667,0.3014322916666667,0.0045655086184221245,0.001069656184866356,4.268201954062972,40.0,40.3780206044515,1.0094505151112876,424.731974363327
kinematic_compliance_s1,kinematic,constraint,0.005,40.0,False,0.7400300270265061,0.7849075198173523,0.7652860786846793,0.8336339527606509,0.6115091636657394,0.294,1.547807128266243e-06,0.01626876862719655,0.0028421928046736865,0.3203125,0.31640625,0.294921875,0.004369210525889382,0.0012194625600147428,3.582898458019539,40.0,40.475985844930015,1.0118996461232503,427.6456341743469
kinematic_compliance_s2,kinematic,constraint,0.005,40.0,False,0.8498981344709972,0.7081281542778015,0.8442312587842898,0.8497823994321808,0.6363411633611248,0.29733333333333334,8.630346717977133e-07,0.015817286539822818,0.0033466689847409725,0.3111979166666667,0.3138020833333333,0.3020833333333333,0.004226819021511119,0.001095191990003741,3.859432008351961,40.0,40.45183245340983,1.0112958113352457,424.7694146633148
kinematic_constraint_s0,kinematic,constraint,0.005,,False,0.8327389532845011,0.7301098108291626,0.7700851934079772,0.8047709728333284,0.8237398865331309,0.251,2.277535712041534e-06,0.0170493614859879,0.0040986113902181385,0.3203125,0.2962239583333333,0.26171875,0.004565641484987282,0.0007012030746231801,6.5111544005148785,,,,421.2820825576782
kinematic_constraint_s1,kinematic,constraint,0.005,,False,0.8370708906079938,0.7297627329826355,0.7694926513886775,0.7972991652877056,0.844547471738023,0.26033333333333336,2.320716813405399e-06,0.01562666818499565,0.0036654518800787626,0.3203125,0.2962239583333333,0.2682291666666667,0.004369413054632787,0.0005983129666731202,7.302888785661157,,,,420.5771312713623
kinematic_constraint_s2,kinematic,constraint,0.005,,False,0.8134108900570143,0.7581095099449158,0.7715766148173067,0.8059912392643821,0.8632928161551385,0.2856666666666667,1.446403350825534e-06,0.01668354319408536,0.003572038788115606,0.3111979166666667,0.2962239583333333,0.2936197916666667,0.004226953375678022,0.0004162413723083347,10.155053430265136,,,,420.58402585983276
learned_constraint_s0,learned,constraint,0.06,,False,0.5002934910434316,0.8766613006591797,0.6471294644629113,0.0,0.9999999999999998,0.0,0.0,0.015250731259584427,0.004179589862469584,0.70703125,0.0,0.0,8.105132373031374e-08,0.0,,,,,477.38851284980774
learned_constraint_s1,learned,constraint,0.06,,False,0.502376692109705,0.8723021745681763,0.6330403684269942,0.0,0.9999999999999998,0.0,0.0,0.014912269916385413,0.0040909218532033265,0.8912760416666666,0.0,0.0,1.7514555980101056e-07,0.0,,,,,481.11615681648254
learned_constraint_s2,learned,constraint,0.06,,False,0.5043323615691501,0.8754062056541443,0.6426601360694476,0.0,0.9999999999999998,0.0,0.0,0.015453500673174858,0.0037481624202337117,0.3170572916666667,0.0,0.0,2.989315290144902e-08,0.0,,,,,477.50388169288635
