algo,env_id,seed,last_step,final_reward,max_reward,mean_last3,final_quarter_slope_per_100k,still_climbing
ct_sac,acrobot-swingup-v4.2,0,1000000,284.5,446.7,333.3,-12.6,False
ct_sac,acrobot-swingup-v4.2,1,1000000,404.8,489.9,372.1,-6.3,False
ct_sac,acrobot-swingup-v4.2,2,1000000,182.4,390.8,172.7,-4.2,False
ct_sac,acrobot-swingup-v4.2,3,1000000,314.5,394.3,322.7,-12.4,False
ct_sac,acrobot-swingup-v4.2,4,1000000,303.0,525.2,319.3,-5.2,False
ct_sac,acrobot-swingup-v4.2,5,1000000,295.8,548.6,280.2,-10.8,False
ct_td3,acrobot-swingup-v4.2,0,1000000,140.9,314.5,132.3,-5.2,False
ct_td3,acrobot-swingup-v4.2,1,1000000,137.5,575.0,212.1,-29.6,False
ct_td3,acrobot-swingup-v4.2,2,1000000,132.1,539.4,115.3,-0.8,False
ct_td3,acrobot-swingup-v4.2,3,1000000,167.9,469.5,149.8,-85.3,False
ct_td3,acrobot-swingup-v4.2,4,1000000,133.9,570.0,147.3,-42.4,False
ct_td3,acrobot-swingup-v4.2,5,1000000,211.7,324.5,192.0,-1.7,False
ppo,acrobot-swingup-v4.2,0,1000000,121.3,188.5,124.9,-4.5,False
ppo,acrobot-swingup-v4.2,1,1000000,115.8,192.1,116.3,15.0,True
ppo,acrobot-swingup-v4.2,2,1000000,227.6,227.6,181.8,40.4,True
ppo,acrobot-swingup-v4.2,3,1000000,92.7,169.2,72.0,6.5,False
ppo,acrobot-swingup-v4.2,4,1000000,107.7,224.7,100.5,-14.0,False
ppo,acrobot-swingup-v4.2,5,1000000,165.1,223.2,193.2,23.9,True
sac,acrobot-swingup-v4.2,0,1000000,86.3,247.2,81.9,-1.0,False
sac,acrobot-swingup-v4.2,1,1000000,118.0,282.1,118.6,-1.2,False
sac,acrobot-swingup-v4.2,2,1000000,134.6,269.1,132.0,22.5,True
sac,acrobot-swingup-v4.2,3,1000000,169.8,361.8,225.7,-33.3,False
sac,acrobot-swingup-v4.2,4,1000000,109.6,304.7,108.4,4.4,False
sac,acrobot-swingup-v4.2,5,1000000,126.3,256.5,175.7,19.0,True
ct_sac,cartpole-two_poles-curriculum,0,1000000,1878.7,2089.6,1898.2,-55.0,False
ct_sac,cartpole-two_poles-curriculum,1,1000000,1529.8,1597.1,1572.4,52.1,True
ct_sac,cartpole-two_poles-curriculum,2,1000000,1642.4,1651.8,1611.6,85.9,True
ct_sac,cartpole-two_poles-curriculum,3,1000000,1934.9,1934.9,1797.3,88.2,True
ct_sac,cartpole-two_poles-curriculum,4,1000000,1160.5,1343.2,1154.5,38.4,True
ct_sac,cartpole-two_poles-curriculum,5,1000000,1216.3,1330.2,1226.1,1.5,False
