env_id,mode,seed,last_eval_step,progress_pct,last3_eval_reward
cartpole-swingup,final_mf,0,500000,100,1132.89
cartpole-swingup,final_mf,1,500000,100,1338.136
cartpole-swingup,final_mf,2,500000,100,1690.002
cartpole-swingup,final_mf,3,500000,100,1631.183
cartpole-swingup,final_mf,4,500000,100,1376.506
cartpole-swingup,final_mf,5,500000,100,1369.738
cartpole-swingup,final_mf,6,500000,100,1618.717
cartpole-swingup,final_mf,7,500000,100,1536.149
cartpole-swingup,final_mf,8,500000,100,1598.409
cartpole-swingup,final_mf,9,500000,100,1633.922
cartpole-swingup,final_mf,10,500000,100,1612.042
cartpole-swingup,final_mf,11,500000,100,1674.109
cartpole-swingup,final_mf_vhead,0,500000,100,1391.107
cartpole-swingup,final_mf_vhead,1,500000,100,1334.319
cartpole-swingup,final_mf_vhead,2,500000,100,931.832
cartpole-swingup,final_mf_vhead,3,500000,100,1706.646
cartpole-swingup,final_mf_vhead,4,500000,100,1087.035
cartpole-swingup,final_mf_vhead,5,500000,100,837.412
cartpole-swingup,final_mf_vhead,6,500000,100,1560.354
cartpole-swingup,final_mf_vhead,7,500000,100,1595.122
cartpole-swingup,final_mf_vhead,8,500000,100,1441.376
cartpole-swingup,final_mf_vhead,9,500000,100,1437.07
cartpole-swingup,final_mf_vhead,10,500000,100,1046.161
cartpole-swingup,final_mf_vhead,11,500000,100,807.769
cartpole-swingup,final_oracle_rollout,0,500000,100,1278.881
cartpole-swingup,final_oracle_rollout,1,500000,100,1391.84
cartpole-swingup,final_oracle_rollout,2,500000,100,1390.4
cartpole-swingup,final_oracle_rollout,3,500000,100,1055.065
cartpole-swingup,final_oracle_rollout,4,500000,100,1371.515
cartpole-swingup,final_oracle_rollout,5,500000,100,1654.134
cartpole-swingup,final_oracle_rollout,6,500000,100,1496.447
cartpole-swingup,final_oracle_rollout,7,500000,100,1388.357
cartpole-swingup,final_oracle_rollout,8,500000,100,893.702
cartpole-swingup,final_oracle_rollout,9,500000,100,1642.451
cartpole-swingup,final_oracle_rollout,10,500000,100,716.905
cartpole-swingup,final_oracle_rollout,11,500000,100,1323.181
cartpole-swingup,final_structured,0,500000,100,1610.776
cartpole-swingup,final_structured,1,500000,100,1642.513
cartpole-swingup,final_structured,2,500000,100,1641.354
cartpole-swingup,final_structured,3,500000,100,1584.149
cartpole-swingup,final_structured,4,500000,100,986.399
cartpole-swingup,final_structured,5,500000,100,1669.438
cartpole-swingup,final_structured,6,500000,100,1524.322
cartpole-swingup,final_structured,7,500000,100,1349.711
cartpole-swingup,final_structured,8,500000,100,1216.799
cartpole-swingup,final_structured,9,500000,100,1461.407
cartpole-swingup,final_structured,10,500000,100,23.542
cartpole-swingup,final_structured,11,500000,100,1414.738
cartpole-swingup,final_guarded,0,500000,100,896.102
cartpole-swingup,final_guarded,1,500000,100,969.111
cartpole-swingup,final_guarded,2,500000,100,821.421
cartpole-swingup,final_guarded,3,500000,100,1504.963
cartpole-swingup,final_guarded,4,500000,100,1415.77
cartpole-swingup,final_guarded,5,500000,100,1647.09
cartpole-swingup,final_guarded,6,500000,100,1270.044
cartpole-swingup,final_guarded,7,500000,100,1667.191
cartpole-swingup,final_guarded,8,500000,100,924.982
cartpole-swingup,final_guarded,9,500000,100,1488.234
cartpole-swingup,final_guarded,10,500000,100,1367.36
cartpole-swingup,final_guarded,11,500000,100,1391.126
cartpole-swingup,final_reanchor,0,400000,80,1531.315
cartpole-swingup,final_reanchor,1,400000,80,1600.76
cartpole-swingup,final_reanchor,2,400000,80,544.999
cartpole-swingup,final_reanchor,3,400000,80,876.35
cartpole-swingup,final_reanchor,4,400000,80,1143.315
cartpole-swingup,final_reanchor,5,400000,80,686.583
cartpole-swingup,final_reanchor,6,400000,80,1285.857
cartpole-swingup,final_reanchor,7,400000,80,1368.763
cartpole-swingup,final_reanchor,8,400000,80,1442.917
cartpole-swingup,final_reanchor,9,400000,80,1435.056
cartpole-swingup,final_reanchor,10,400000,80,1605.918
cartpole-swingup,final_reanchor,11,400000,80,845.37
cartpole-swingup,final_guarded_reanchor,0,375000,75,1318.142
cartpole-swingup,final_guarded_reanchor,1,375000,75,1270.375
cartpole-swingup,final_guarded_reanchor,2,375000,75,1513.326
cartpole-swingup,final_guarded_reanchor,3,400000,80,1287.573
cartpole-swingup,final_guarded_reanchor,4,375000,75,1055.889
cartpole-swingup,final_guarded_reanchor,5,400000,80,1129.659
cartpole-swingup,final_guarded_reanchor,6,375000,75,1152.686
cartpole-swingup,final_guarded_reanchor,7,375000,75,928.427
cartpole-swingup,final_guarded_reanchor,8,375000,75,1247.263
cartpole-swingup,final_guarded_reanchor,9,375000,75,1391.541
cartpole-swingup,final_guarded_reanchor,10,375000,75,1258.993
cartpole-swingup,final_guarded_reanchor,11,375000,75,1221.881
acrobot-swingup-v2,final_mf,0,1000000,100,674.245
acrobot-swingup-v2,final_mf,1,1000000,100,682.186
acrobot-swingup-v2,final_mf,2,1000000,100,674.53
acrobot-swingup-v2,final_mf,3,1000000,100,676.138
acrobot-swingup-v2,final_mf,4,1000000,100,673.842
acrobot-swingup-v2,final_mf,5,1000000,100,670.026
acrobot-swingup-v2,final_mf,6,1000000,100,682.549
acrobot-swingup-v2,final_mf,7,1000000,100,680.513
acrobot-swingup-v2,final_mf,8,1000000,100,674.582
acrobot-swingup-v2,final_mf,9,1000000,100,678.102
acrobot-swingup-v2,final_mf,10,1000000,100,677.962
acrobot-swingup-v2,final_mf,11,1000000,100,679.273
acrobot-swingup-v2,final_mf_vhead,0,1000000,100,674.651
acrobot-swingup-v2,final_mf_vhead,1,1000000,100,680.485
acrobot-swingup-v2,final_mf_vhead,2,1000000,100,675.113
acrobot-swingup-v2,final_mf_vhead,3,1000000,100,675.975
acrobot-swingup-v2,final_mf_vhead,4,1000000,100,674.564
acrobot-swingup-v2,final_mf_vhead,5,1000000,100,669.285
acrobot-swingup-v2,final_mf_vhead,6,1000000,100,682.821
acrobot-swingup-v2,final_mf_vhead,7,1000000,100,678.91
acrobot-swingup-v2,final_mf_vhead,8,1000000,100,677.634
acrobot-swingup-v2,final_mf_vhead,9,1000000,100,675.282
acrobot-swingup-v2,final_mf_vhead,10,1000000,100,674.148
acrobot-swingup-v2,final_mf_vhead,11,1000000,100,675.064
acrobot-swingup-v2,final_oracle_rollout,0,1000000,100,675.559
acrobot-swingup-v2,final_oracle_rollout,1,1000000,100,677.716
acrobot-swingup-v2,final_oracle_rollout,2,1000000,100,674.259
acrobot-swingup-v2,final_oracle_rollout,3,1000000,100,676.035
acrobot-swingup-v2,final_oracle_rollout,4,1000000,100,676.318
acrobot-swingup-v2,final_oracle_rollout,5,1000000,100,671.472
acrobot-swingup-v2,final_oracle_rollout,6,1000000,100,681.67
acrobot-swingup-v2,final_oracle_rollout,7,1000000,100,679.206
acrobot-swingup-v2,final_oracle_rollout,8,1000000,100,676.356
acrobot-swingup-v2,final_oracle_rollout,9,1000000,100,671.937
acrobot-swingup-v2,final_oracle_rollout,10,1000000,100,673.141
acrobot-swingup-v2,final_oracle_rollout,11,1000000,100,678.159
acrobot-swingup-v2,final_structured,0,575000,58,674.993
acrobot-swingup-v2,final_structured,1,575000,58,681.287
acrobot-swingup-v2,final_structured,2,575000,58,672.209
acrobot-swingup-v2,final_structured,3,575000,58,675.259
acrobot-swingup-v2,final_structured,4,575000,58,672.118
acrobot-swingup-v2,final_structured,5,575000,58,668.847
acrobot-swingup-v2,final_structured,6,575000,58,679.808
acrobot-swingup-v2,final_structured,7,575000,58,680.351
acrobot-swingup-v2,final_structured,8,575000,58,675.031
acrobot-swingup-v2,final_structured,9,575000,58,672.188
acrobot-swingup-v2,final_structured,10,575000,58,681.98
acrobot-swingup-v2,final_structured,11,575000,58,675.558
acrobot-swingup-v2,final_guarded,0,575000,58,676.023
acrobot-swingup-v2,final_guarded,1,550000,55,681.211
acrobot-swingup-v2,final_guarded,2,575000,58,669.967
acrobot-swingup-v2,final_guarded,3,575000,58,672.258
acrobot-swingup-v2,final_guarded,4,550000,55,673.411
acrobot-swingup-v2,final_guarded,5,575000,58,671.132
acrobot-swingup-v2,final_guarded,6,575000,58,677.676
acrobot-swingup-v2,final_guarded,7,550000,55,675.734
acrobot-swingup-v2,final_guarded,8,575000,58,673.927
acrobot-swingup-v2,final_guarded,9,575000,58,674.514
acrobot-swingup-v2,final_guarded,10,575000,58,678.385
acrobot-swingup-v2,final_guarded,11,550000,55,679.637
acrobot-swingup-v2,final_reanchor,0,425000,42,672.434
acrobot-swingup-v2,final_reanchor,1,425000,42,679.195
acrobot-swingup-v2,final_reanchor,2,425000,42,671.832
acrobot-swingup-v2,final_reanchor,3,425000,42,677.043
acrobot-swingup-v2,final_reanchor,4,425000,42,672.06
acrobot-swingup-v2,final_reanchor,5,425000,42,671.439
acrobot-swingup-v2,final_reanchor,6,425000,42,676.822
acrobot-swingup-v2,final_reanchor,7,425000,42,677.662
acrobot-swingup-v2,final_reanchor,8,425000,42,664.495
acrobot-swingup-v2,final_reanchor,9,425000,42,673.068
acrobot-swingup-v2,final_reanchor,10,425000,42,674.151
acrobot-swingup-v2,final_reanchor,11,425000,42,673.201
acrobot-swingup-v2,final_guarded_reanchor,0,325000,32,674.3
acrobot-swingup-v2,final_guarded_reanchor,1,325000,32,674.67
acrobot-swingup-v2,final_guarded_reanchor,2,325000,32,670.34
acrobot-swingup-v2,final_guarded_reanchor,3,325000,32,679.935
acrobot-swingup-v2,final_guarded_reanchor,4,325000,32,670.905
acrobot-swingup-v2,final_guarded_reanchor,5,325000,32,668.137
acrobot-swingup-v2,final_guarded_reanchor,6,325000,32,677.176
acrobot-swingup-v2,final_guarded_reanchor,7,325000,32,674.783
acrobot-swingup-v2,final_guarded_reanchor,8,325000,32,672.836
