schema_version,seed,start,damping,torque_limit,k_v,k_d,k_p,kp_floor,kp_boundary,kd_floor,regime,n_unstable,escape_time_constant,t_max,dt,physics_dt,tube_energy,tube_angle,tube_rate,dwell_seconds,lqr_threshold,duration,captured,capture_time,retention,error_rms,error_rms_energy,error_rms_angle,error_rms_rate,orbit_distance_rms,orbit_distance_final,control_effort,saturation,lqr_time,lqr_residual_min,min_abs_energy_error,final_abs_energy_error,peak_shoulder_rate,peak_commanded_torque
1,20000,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,7.160999999998751,1.0,0.01269076734769489,0.011962184924541189,0.003192503804750527,0.0027874050945371626,0.020286109226136724,0.013435608336392945,222.77495676053323,0.0,inf,0.13240583746367432,0.20271862243629357,0.20271862243629357,7.039586067199707,19.695232189740715
1,20001,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,16.475500000006953,1.0,0.021177353407061273,0.01986486301922281,0.005636081625988116,0.004701286894062412,0.027529306139266678,0.02609404859969237,247.27404013441415,0.0,inf,0.15198342870361747,0.2748894152524315,0.2748894152524315,7.4320526123046875,17.441190059447806
1,20002,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,7.241999999998706,1.0,0.005300851701315484,0.004581241487995565,0.0013545685308943786,0.0022970414195477794,0.01134414907231332,0.0012319314111323113,245.3781339251547,0.0,32.81099999997464,0.007898794818355514,0.0003569234362217344,0.0083744358110458,5.727931499481201,19.374773028423718
1,20003,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,7.4484999999985915,1.0,0.020029386533307162,0.01879752440351655,0.005312512113861445,0.0044279358893169795,0.026429535577473608,0.004462300387372278,217.63603840489625,0.0,inf,0.14554127346899995,0.2471312348011736,0.2471312348011736,7.245258808135986,19.611523875495187
1,20004,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,7.115499999998776,1.0,0.00839574864812597,0.007842221414286735,0.0015396819386229899,0.0025724576147508824,0.0156875621078355,0.0006966538041893844,239.86179639940104,0.0,53.987500000075755,0.014162978062467867,0.00047137658191331866,0.0425477355870143,5.8858537673950195,19.356897109875845
1,20005,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,10.574500000001432,1.0,0.0205071093526851,0.019254581315200883,0.005303474359404936,0.004655726806679726,0.027293900204581376,0.010316507085084024,227.13427087792275,0.0,inf,0.1468057050329495,0.25655905819979097,0.2565591486429746,7.2927117347717285,19.5454695216253
1,20006,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,16.321500000007312,1.0,0.021110469652540407,0.019810153156059124,0.005595524511019076,0.004679729301027469,0.027399449904291735,0.033831186032099114,245.22925990091775,0.0,inf,0.15168256539008515,0.2738563499106945,0.2738563499106945,7.429166316986084,16.892965733913893
1,20007,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,16.488000000006924,1.0,0.021184537328558576,0.019871013507298443,0.005639542918616276,0.004703509294871182,0.027541454784651913,0.0254794885005984,247.4939485081528,0.0,inf,0.15202631650657084,0.27498873505012966,0.2749889854766856,7.432225704193115,17.503122210566666
1,20008,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,7.134999999998765,1.0,0.007910879308497988,0.007344111153662609,0.0015067164553428094,0.0025250442212898486,0.015081360873852388,0.011873288151267265,240.57038560915416,0.0,51.011500000061545,0.012833062001690345,0.0006935105822627463,0.036107784253974984,5.859813213348389,19.356237144524012
1,20009,release,0.0,64.0,66.3,35.8,61.2,61.140962938182525,288.12000000000006,35.74057524497661,prop4_fast,3,0.5168600931637846,120.0,0.0005,0.0005,0.05,0.025,0.05,1.0,0.04,120.00000000039095,True,6.947499999998869,1.0,0.011312703115583623,0.010800931788138436,0.0017813421302548343,0.0028537597138328223,0.018966378869065808,0.003883694156986074,236.65695675866272,0.0,68.52150000014515,0.019401806037336856,0.00024089788002612522,0.06839965461411524,6.120119094848633,19.405818436668472
